Unnamed: 0.1,Unnamed: 0,index,suid,headline,timestamp_clean,relevant,sentiment_international,sentiment_economy,sentiment_financial_markets,sentiment_consumer,sentiment_housing,sentiment_labor,sentiment_inflation,hawk_dove,relevant_confidence,topic_international_confidence,topic_economy_confidence,topic_financial_markets_confidence,topic_consumer_confidence,topic_housing_confidence,topic_labor_confidence,topic_inflation_confidence,hawk_dove_confidence,_reviewed
0,0,,KD6EMR0S8Z60,*FED'S ROSENGREN SAYS ECONOMY MAY IMPROVE IN SECOND HALF OF 2009,2009-01-09 00:15:00+00:00,1,,1,,,,,,0,85,100,75,100,100,100,100,100,70,1
1,1,,KDDDWQ0D9L37,*FED VICE CHAIR KOHN TO TESTIFY TOMORROW ON TARP PRIORITIES,2009-01-12 17:58:02.260000+00:00,0,,,,,,,,,80,100,100,80,100,100,100,100,80,1
2,2,890,KDEXMQ0D9L36,*BERNANKE SAYS MAY SEE SOME STABILIZATION IN ECONOMY IN 2009,2009-01-13 14:01:38.710000+00:00,1,,1,,,,,,0,95,100,90,100,100,100,100,100,70,1
3,3,1702,KDF3VP0D9L36,*FED'S KOHN SAYS TARP IS ESSENTIAL TO REVIVING `CREDIT FLOWS',2009-01-13 16:16:37.430000+00:00,1,,,-2,,,,,-1,,,,,,,,,,1
4,4,1709,KDFK7A0D9L35,"*FED'S KOHN, FDIC'S BOVENZI COMPLETE HOUSE PANEL TESTIMONY",2009-01-13 22:09:10.270000+00:00,0,,,,,,,,,,,,,,,,,,1
5,5,192,KDFMHM0D9L37,"*FED'S LACKER SEES NEED TO KEEP CREDIT, MONETARY POLICY DISCRETE",2009-01-13 22:58:34.710000+00:00,1,,-1,-1,,,,,-1,90,100,75,80,100,100,100,100,70,1
6,6,1036,KDGQQE0S8Z5Y,*FED'S PLOSSER SEES U.S. GROWTH THIS YEAR `WELL BELOW 2%',2009-01-14 13:30:00+00:00,1,,-2,,,,,,-1,95,100,95,100,100,100,100,100,90,1
7,7,,KDGQQE0S8Z64,*FED'S PLOSSER SAYS HOUSING SECTOR TO `HIT BOTTOM' THIS YEAR,2009-01-14 13:30:00+00:00,1,,1,1,,1,,,0,95,100,60,60,90,90,100,100,80,1
8,8,,KDL9NE0D9L35,"*WARSH NO LONGER IN RUNNING FOR N.Y. FED, CNBC SAYS",2009-01-17 00:06:50.850000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
9,9,192,KE4UG40D9L37,*NEW YORK FED SAID TO PLAN DUDLEY ANNOUNCEMENT ABOUT 10:45 A.M.,2009-01-27 13:50:28.280000+00:00,0,,,,,,,,,85,100,100,100,100,100,100,100,100,1
10,10,,KE4UG40D9L36,*WILLIAM DUDLEY IS SAID TO SUCCEED GEITHNER AT NEW YORK FED,2009-01-27 13:50:28.280000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
11,11,946,KETU2U0D9L37,*FED'S FISHER SAYS CONSUMPTION IS `CASCADING DOWNHILL',2009-02-10 01:42:30.770000+00:00,1,,-1,,-2,,,,-2,95,100,90,100,95,100,100,100,90,1
12,12,1479,KEV5W40D9L37,*BERNANKE SAYS GEITHNER PLAN SHOULD RESTORE `PRICE DISCOVERY',2009-02-10 18:55:16.640000+00:00,1,,,,,,,0,-2,,,,,,,,,,1
13,13,,KEV7OO0D9L36,*BERNANKE SAYS NEGATIVE FORCES IN CRISIS `INCREDIBLY POWERFUL',2009-02-10 19:34:00.330000+00:00,1,2,-2,-2,-2,-2,-2,-1,-2,95,90,95,95,90,90,90,85,95,1
14,14,923,KF9ZEJ0D9L37,*BERNANKE SAYS FED WANTS TO REVIVE CREDIT IMPORTANT TO ECONOMY,2009-02-18 18:59:07.940000+00:00,1,,-2,-1,,,,,-2,95,100,90,90,100,100,100,100,85,1
15,15,106,KFKWXJ0D9L36,*BERNANKE SAYS RESTORING CONFIDENCE CRUCIAL TO HOUSING REVIVAL,2009-02-24 16:39:19.250000+00:00,1,,,,,-1,,,-2,93,100,70,80,78,95,100,100,90,1
16,16,382,KFKUP20D9L36,*BERNANKE SAYS `WE NEED TO BE MORE AGGRESSIVE' IDENTIFYING RISKS,2009-02-24 15:51:02.200000+00:00,1,,-1,-1,-1,,,,-2,90,100,80,80,70,100,100,100,85,1
17,17,800,KFKXIS0D9L36,*BERNANKE SAYS DOLLAR AND U.S. DEBT `ATTRACTIVE' AROUND WORLD,2009-02-24 16:52:04.360000+00:00,0,1,1,,,,,,,90,95,90,85,92,93,92,95,80,1
18,18,969,KFKSC10D9L3E,*BERNANKE SAYS `SIGNIFICANT STRESSES' PERSIST IN MANY MARKETS,2009-02-24 15:00:01.810000+00:00,1,,-2,-2,-1,,,,-2,95,100,90,95,85,100,100,100,90,1
19,19,1268,KFKZ1O0D9L36,*BERNANKE SAYS U.S. MANUFACTURING FACES MANY `CHALLENGES',2009-02-24 17:25:00.100000+00:00,1,,-1,,,,,,-2,,,,,,,,,,1
20,20,1536,KFL0030D9L36,*BERNANKE SAYS FED LACKS AUTHORITY TO CLOSE DOWN BIG INSTITUTION,2009-02-24 17:45:39.470000+00:00,0,,,,,,,,,,,,,,,,,,1
21,21,1551,KFKURK0D9L39,*BERNANKE SAYS FED NEEDS TO ENSURE BANKS HAVE ENOUGH LIQUIDITY,2009-02-24 15:52:32.670000+00:00,1,,,-2,,,,,-2,,,,,,,,,,1
22,22,1772,KG1JGE0D9L37,*FED'S KOHN SAYS `UNREGULATED PIECE' OF AIG WEAKENED THE COMPANY,2009-03-05 16:07:26.950000+00:00,0,,,,,,,,,,,,,,,,,,1
23,23,,KG1G4N0S8Z63,*FED VICE CHAIRMAN KOHN TESTIFYING BEFORE SENATE BANKING PANEL,2009-03-05 15:00:00.010000+00:00,0,,,,,,,,,100,100,100,100,100,100,100,100,100,1
24,24,1761,KH0OQ70D9L38,*BERNANKE SAYS HE NOT INFORMED ABOUT AIG BONUSES UNTIL MARCH 10,2009-03-24 15:37:19.540000+00:00,0,,,,,,,,,,,,,,,,,,1
25,25,,KH0SXH0D9L36,*BERNANKE SAYS REGULATORS `WEREN'T PREPARED' FOR A LARGE CRISIS,2009-03-24 17:08:05.680000+00:00,0,,,,,,,,,80,100,100,100,100,100,100,100,100,1
26,26,1343,KH3TSW0D9L37,*FED'S LOCKHART SAYS MOST U.S. DATA SIGNAL CONTINUING RECESSION,2009-03-26 08:19:44.930000+00:00,1,,-2,,,,,,-2,,,,,,,,,,1
27,27,34,KI3SO50D9L37,*BERNANKE SAYS WILL BE `TOUGH CALCULATION' WHEN TO PULL BACK,2009-04-14 18:28:53.300000+00:00,1,,0,0,,,,0,0,85,100,65,70,100,100,100,60,80,1
28,28,1278,KI2VSS0D9L35,"*FISHER SAYS CHINA SHOULD BOOST DOMESTIC DEMAND, IMPORTS",2009-04-14 06:38:52.220000+00:00,0,1,2,,,,,,,,,,,,,,,,1
33,33,,KIAYO80S8Z5X,*FED'S DUDLEY SAYS TALF CREDIT PROGRAM IS OFF TO A `SLOW START',2009-04-18 15:45:00+00:00,0,,-1,-1,,,,,,95,100,80,85,90,100,100,100,70,1
34,34,1332,KI7C4U0S8Z68,*FED'S LOCKHART SEES `ENCOURAGING SIGNS' FOR U.S. ECONOMY,2009-04-16 16:30:00+00:00,1,,2,,,,,,-1,,,,,,,,,,1
35,35,,KI2SXS0D9L36,*FISHER SAYS U.S. UNEMPLOYMENT RATE MAY EXCEED 10% BY YEAR END,2009-04-14 05:37:04.540000+00:00,1,,-1,,-1,,-2,,-2,95,100,85,100,70,100,90,100,85,1
36,36,566,KJ6AWE0WGOHW,*BERNANKE SAYS RECOVERY WILL `ONLY GRADUALLY GAIN MOMENTUM',2009-05-05 14:00:00+00:00,1,,-1,,,,,,-1,90,90,85,90,90,90,90,90,85,1
37,37,723,KJ6E530D9L35,*BERNANKE SEES `SIGNIFICANT' PRIVATE MONEY RAISED BY BANKS,2009-05-05 14:41:27+00:00,0,,1,2,,,,,,95,100,85,90,100,100,100,100,80,1
38,38,,KK0SG90D9L37,*TREASURIES RISE; FED'S ROSENGREN SAYS RECOVERY TO BE `SLOW',2009-05-22 00:38:33.630000+00:00,1,,-1,-1,,,,,-1,90,100,85,75,100,100,100,100,80,1
39,39,635,KJWJPR0WGOHV,*FED SAYS FIRST `LEGACY' CMBS ELIGIBLE FOR TALF LOANS IN JULY,2009-05-19 18:00:00.002000+00:00,0,,1,2,,,,,,90,100,85,95,90,90,100,100,85,1
40,40,1154,KK0L9S0S8Z5T,*FED'S PLOSSER SEES INFLATION RISING TO 2.5% IN 2011,2009-05-21 23:00:00+00:00,1,,,,,,,-1,1,95,100,100,100,100,100,100,95,85,1
41,41,1472,KK0S9M0D9L3F,*FED'S PLOSSER SAYS U.S. SEEING REVERSE OF 2008 OIL PRICE SHOCK,2009-05-22 00:34:34.520000+00:00,1,,,,,,,-2,0,,,,,,,,,,1
43,43,157,KKO62M0D9L36,*BERNANKE SAYS FEAR OF DEFLATION `HAS RECEDED SOMEWHAT',2009-06-03 15:37:34.240000+00:00,1,,-1,,,,,2,0,90,100,75,100,100,100,100,85,70,1
44,44,824,KKO6RR0D9L37,*BERNANKE SAYS FED NEEDS TO BE PART OF SYSTEMIC RISK OVERSIGHT,2009-06-03 15:52:39.990000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
45,45,879,KKO65Z0D9L36,*BERNANKE SAYS WON'T BE EASY CALL ON WHEN TO WITHDRAW MEASURES,2009-06-03 15:39:35.160000+00:00,1,,0,0,,,,,-1,95,100,80,80,100,100,100,100,85,1
46,46,42,KKPS5P0S8Z5U,*BERNANKE SAYS FINANCIAL CRISIS SHOWS NEED FOR ECONOMIC RESEARCH,2009-06-04 12:45:00+00:00,0,,-1,-2,,,,,,90,100,65,80,100,100,100,100,70,1
47,47,98,KKPQBB0D9L37,*PIANALTO SAYS FEDERAL SPENDING MUST EVENTUALLY BE REDUCED,2009-06-04 11:52:23.220000+00:00,1,,-1,,,,,1,0,90,100,80,100,100,100,100,65,75,1
48,48,209,KKXGOB0D9L34,"*FEDERAL NATURAL SAYS DEFENDANTS INCLUDE DUKE, RELIANT, AEP,",2009-06-08 16:04:59.430000+00:00,0,,,,,,,,,85,100,100,100,100,100,100,100,100,1
49,49,242,KL33090S8Z62,*FED'S LOCKHART SAYS RISING YIELDS NEED CAREFUL MONITORING,2009-06-11 17:00:00+00:00,1,,0,-1,,,,,0,90,100,75,85,100,100,100,70,80,1
50,50,1554,KLCFH10D9L36,*FED'S WARSH SAYS DEFLATION RISKS `SIGNIFICANTLY ATTENUATED',2009-06-16 18:03:01.650000+00:00,1,,,,,,,0,-1,,,,,,,,,,1
51,51,253,KLSVSB0D9L37,*BERNANKE SAYS FED LEFT DISCLOSURES TO BOFA MANAGEMENT,2009-06-25 15:16:59.890000+00:00,0,,,,,,,,,90,100,100,100,100,100,100,100,100,1
52,52,,KLSZ3I0D9L36,*BERNANKE SAYS LIMITED GOVERNMENT ROLE `IS VERY GOOD APPROACH',2009-06-25 16:28:30.170000+00:00,0,,,,,,,,,95,100,100,100,100,100,100,100,100,1
53,53,1342,KMH4VK0D9L37,*FED'S EVANS SAYS MORE FISCAL STIMULUS MAY BE `HELPFUL',2009-07-08 17:35:44.520000+00:00,1,,-1,,,,,,-2,,,,,,,,,,1
54,54,7971,KMJ3YX0D9L37,*FED'S KOHN ANSWERING LAWMAKERS' QUESTIONS DURING TESTIMONY,2009-07-09 19:11:21.350000+00:00,0,,,,,,,,,,,,,,,,,,1
