,suid,headline,timestamp_clean,relevant,hawk_dove,_reviewed,_untrained
0,MW5Z136S972T,*KOCHERLAKOTA SAYS IOER CUT IS ONE FED OPTION TO BOOST ECONOMY,2013-11-12 13:51:03.302000-05:00,1,-2,1,
1,Q0AWV4T0G1KY,"*DALY: I FAVORED THE THREE RATE CUTS, POLICY IS ACCOMMODATIVE",2019-11-01 13:35:28.682000-04:00,1,-2,1,
2,Q07A3BT0G1L1,*POWELL: FED CUT RATES TO ADD INSURANCE AMID RISKS,2019-10-30 14:30:47.430000-04:00,1,-2,1,
3,PSMIRPDWRGG1,*KAPLAN: A RATE CUT FROM HERE WOULD MAKE FED POLICY STIMULATIVE,2019-06-05 07:33:25.831000-04:00,1,-1,1,
4,PZFP0QT1UM14,"*DALY SAYS SHE SUPPORTED THE FED'S RATE CUTS IN JULY, SEPT.",2019-10-15 17:15:00.003000-04:00,1,-2,1,
5,S6YI44KFCAO0,*FED'S BOSTIC SAYS HE EXPECTS FIRST RATE CUT IN THIRD QUARTER,2024-01-08 14:00:04.668000-05:00,1,-2,1,
6,PTD0PFT1UM10,*POWELL EXPRESSES CONFIDENCE RATE CUT WOULD AID GROWTH IF NEEDED,2019-06-19 14:58:27.559000-04:00,1,-2,1,
7,PY58M0T0AFBB,*KAPLAN SAYS HE BACKED THE FED RATE CUTS IN JULY AND SEPT.,2019-09-20 15:00:00.002000-04:00,1,-2,1,
8,PWO2LY6K50XS,*FED'S KAPLAN SEES POTENTIAL FOR RATE CUT AT SEPT. MEETING: DJ,2019-08-22 21:53:58.395000-04:00,1,-2,1,
9,PZKQR2DWX2PZ,*KAPLAN CURRENTLY FORECASTS ONE RATE CUT BETWEEN NOW AND END '20,2019-10-18 10:40:00.004000-04:00,1,-2,1,
10,MK85OT1A1I4J,*DUDLEY SAYS FED MUST KEEP MONETARY POLICY `VERY ACCOMMODATIVE',2013-03-25 12:26:53.442000-04:00,1,-2,1,
11,PVIRTAT0AFB4,*POWELL: CUT IS DESIGNED TO KEEP OUTLOOK FAVORABLE AMID RISKS,2019-07-31 14:39:10.987000-04:00,1,-2,1,
12,PNA3JLDWRGG0,"*BULLARD: FED RATE CUT POSSIBLE, NOT A BASELINE CASE",2019-02-21 08:45:21.460000-05:00,1,-1,1,
13,S5VR7KLJJ3LS,*FED'S DALY SAYS THREE RATE CUTS COULD BE NEEDED IN 2024: WSJ,2023-12-18 15:50:08.279000-05:00,1,-2,1,
14,PZKN0PDWRGG0,*KAPLAN: STRONGLY SUPPORTED FED'S RATE CUTS IN JULY AND SEPT.,2019-10-18 09:05:13.104000-04:00,1,-2,1,
15,S7GUEI59E8LG,*BOSTIC REPEATS HE PROJECTS FIRST RATE CUT IN THIRD QUARTER 2024,2024-01-18 12:05:00.004000-05:00,1,-2,1,
16,LUTG040WGOIE,*DUDLEY SAYS FED OPTIONS TO BOOST ECONOMY INCLUDE BOND BUYING,2011-11-17 12:50:00-05:00,1,-2,1,
17,M5XHTK1A1I4I,*BERNANKE SAYS FED WOULD CONSIDER FURTHER ASSET PURCHASES,2012-06-20 14:24:56.151000-04:00,1,-2,1,
18,LITGQ81A1I4M,*BULLARD SAYS QE2 CUT COULD BE ON ORDER OF $100 BILLION,2011-03-29 07:18:08.477000-04:00,1,-2,1,
19,S1YNXHNQ43CX,*FED'S BOSTIC SAYS HE SEES ONE RATE CUT IN 2024 NEAR END OF YEAR,2023-10-03 13:00:00.001000-04:00,1,-2,1,
20,M9MH900NKF8B,*BERNANKE SAYS HE WOULDN'T RULE OUT FURTHER ASSET PURCHASES,2012-08-31 10:00:00.012000-04:00,1,-2,1,
21,L3R2BI0WGOIC,*BERNANKE SAYS FED WILL TAKE `NECESSARY' STEPS TO AID RECOVERY,2010-06-09 10:00:00-04:00,1,-2,1,
22,PUWGWET0G1L8,*BULLARD: IF FED CUT RATES BY 25 BPS IT WOULD BE PREEMPTIVE ACT,2019-07-19 13:43:00.003000-04:00,1,-2,1,
23,LBBMRO3TCF0J,*FED SAYS RATE TO STAY `EXCEPTIONALLY LOW' FOR `EXTENDED PERIOD',2010-11-03 14:16:36.983000-04:00,1,-2,1,
24,PWJYPWT0AFB6,*DALY SAYS SHE BACKED FED'S DECISION TO CUT RATES AT JULY FOMC,2019-08-20 16:39:32.657000-04:00,1,-2,1,
25,LYRV5B1A1I4I,*BERNANKE SAYS QE IS SIMILAR TO USUAL POLICY OF CUTTING RATES,2012-02-02 10:31:59.521000-05:00,1,-2,1,
26,LXDQNU0WGOJ7,*DUDLEY SAYS `APPROPRIATE' TO CONSIDER MORE MONETARY EASING,2012-01-06 08:59:32.202000-05:00,1,-2,1,
27,S5VR5ZYCHSSG,*FED'S DALY SAYS RATE CUTS COULD BE APPROPRIATE IN 2024: WSJ,2023-12-18 15:49:11.157000-05:00,1,-2,1,
28,PPG5YBDWRGG0,*HARKER SAYS HE WOULD NEVER SAY NEVER TO A POSSIBLE RATE CUT,2019-04-04 13:30:11.598000-04:00,1,-2,1,
29,M5XCLG0UQVID,*FED SAYS IT IS PREPARED TO TAKE FURTHER ACTION `AS APPROPRIATE',2012-06-20 12:32:04.020000-04:00,1,-2,1,
30,Q58TUHDWX2PS,*DALY: FED RATE CUTS IN 2019 WILL HELP U.S. WEATHER UNCERTAINTY,2020-02-05 14:23:05.602000-05:00,1,-2,1,
31,LR5PZO0WGOLA,*EVANS URGES `VERY SIGNIFICANT AMOUNTS' OF ADDED ACCOMMODATION,2011-09-07 11:15:00.007000-04:00,1,-2,1,
32,M57WHE0IF021,*YELLEN SAYS `SCOPE REMAINS' FOR FURTHER POLICY ACCOMMODATION,2012-06-06 20:00:00.002000-04:00,1,-2,1,
33,PY56UST1UM0Z,*KAPLAN BACKED FED'S DECISION TO CUT RATES IN JULY AND SEPT.,2019-09-20 14:18:28.528000-04:00,1,-2,1,
34,LZG73B0M5ULA,*A FEW FED OFFICIALS SAID MORE BOND BUYING MAY BECOME NECESSARY,2012-02-15 14:00:00-05:00,1,-2,1,
35,PQ0LBZDWLU71,*FED'S EVANS SEES CIRCUMSTANCES IN WHICH HE'D BACK A RATE CUT,2019-04-15 14:20:00.001000-04:00,1,-2,1,
36,L5X58P0HBO5D,*BERNANKE: FED PREPARED TO TAKE MORE POLICY ACTIONS `AS NEEDED',2010-07-21 14:00:00.010000-04:00,1,-2,1,
37,M839AS3TCF0G,*FED SAYS IT  `WILL PROVIDE ADDITIONAL ACCOMMODATION AS NEEDED',2012-08-01 14:13:40.559000-04:00,1,-2,1,
38,PZFH1GT0G1L7,"*DALY: FED CUTS IN JULY, SEPT. SHOULD HELP KEEP EXPANSION GOING",2019-10-15 15:30:00.005000-04:00,1,-2,1,
39,PYE2ERT0AFB4,"*EVANS BACKED FED'S CUTS, SAYS SEEMS LIKE MID-CYCLE ADJUSTMENT",2019-09-25 09:20:51.064000-04:00,1,-2,1,
40,QAOWXUDWRGG1,"*FED’S CLARIDA: MORE FISCAL, MONETARY SUPPORT MAY BE CALLED FOR",2020-05-21 13:00:00.005000-04:00,1,-2,1,
41,PSDL8EDWRGG0,*WILLIAMS: CRISIS SHOWED FAST RATE CUTS NEEDED IN STEEP DOWNTURN,2019-05-31 12:00:00.001000-04:00,1,-2,1,
42,LMFQEX0WGOJI,*BERNANKE SAYS ACCOMMODATIVE MONETARY POLICIES ARE STILL NEEDED,2011-06-07 15:45:00-04:00,1,-2,1,
43,S5XF84598MBK,*BOSTIC: PROJECT 2 RATE CUTS NEXT YEAR IN SECOND HALF OF 2024,2023-12-19 13:26:28.615000-05:00,1,-2,1,
44,PVISWOT1UM0X,*POWELL: I DIDN'T SAY IT'S JUST ONE RATE CUT,2019-07-31 15:02:48.146000-04:00,1,-2,1,
45,PFZKPST25UKG,*KAPLAN SAYS HE SUPPORTED CUTTING `ACCOMMODATIVE' FROM STATEMENT,2018-10-02 15:40:00.003000-04:00,1,1,1,
46,Q0JTQDT1UM0Y,*EVANS: FED HAS ENGINEERED ACCOMMODATIVE POLICY WITH THIRD CUT,2019-11-06 08:06:13.268000-05:00,1,-2,1,
47,M9M9OD1A1I4I,*BULLARD SAYS `THIS MIGHT BE A TIME' TO CUT INTEREST ON RESERVES,2012-08-31 07:09:49.519000-04:00,1,-2,1,
48,MUTSD40LOZRV,*KOCHERLAKOTA: FED MUST DO WHATEVER IT TAKES TO CUT JOBLESSNESS,2013-10-17 14:30:00.005000-04:00,1,-2,1,
49,PUQXA4T1UM0W,*FED’S KAPLAN: MAY FAVOR `TACTICAL’ INTEREST-RATE CUT,2019-07-16 18:00:00.005000+00:00,1,-2,1,
50,PWYZYNT0G1L1,"*DALY BACKED FED'S JULY RATE CUT, SAW IT AS POLICY RECALIBRATION",2019-08-28 23:35:00.003000+00:00,1,-2,1,
51,KEWWBU0S8Z69,*FED'S EVANS SEES NEED FOR `MORE POLICY ACCOMODATION',2009-02-11 18:00:00+00:00,1,-2,1,
52,OPP5KY6TTDS2,*ROSENGREN REPEATS FED LIKELY TO HIT ZERO RATES AGAIN IN FUTURE,2017-05-09 17:50:58.747000+00:00,1,0,1,
53,QMMGA4T1UM13,*CLARIDA: FED WILL USE ITS FULL RANGE OF TOOLS TO AID ECONOMY,2021-01-08 16:00:00.005000+00:00,1,-2,1,
54,Q6MKYEDWRGG3,*POWELL: WE RECOGNIZE A RATE CUT CAN'T FIX SUPPLY CHAINS,2020-03-03 11:11:02.603000-05:00,1,-2,1,
55,PZH63OT1UM0X,*EVANS: ANOTHER RATE CUT WOULD BOOST HIS CONFIDENCE ON INFLATION,2019-10-16 16:20:00+00:00,1,-2,1,
56,MNKHSG0WGOKI,*FED'S ROSENGREN SAYS `SIGNIFICANT' ACCOMMODATION STILL NEEDED,2013-05-29 17:25:00+00:00,1,-2,1,
57,LJUXOV1A1I4L,*BULLARD SAYS FED PROBABLY WON'T TAPER END OF QE2 PURCHASES,2011-04-18 16:55:43.973000+00:00,1,-2,1,
