suid,capturetime,headline,all_topics,all_people,flagged_people_ids,flagged_people_keys,score,relevant,autolabeler_id
KEV2C90D9L36,2009-02-10T17:38:33.559+00:00,*GEITHNER SAYS HE WILL STRIVE TO PROTECT FED'S INDEPENDENCE,ABS;BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CMO;CNG;COS;CRUNCH;ECO;EXE;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FISUB;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INTERNAL;MARKETS;MISC;MOR;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POLNEWS;RIF;SCR;SPREGIONS;SUBPRIME;TARP;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-2,1,0f558428c419479db2919784fadb5705
KEVAUJ0D9L36,2009-02-10T20:42:19.441+00:00,*GEITHNER SAYS IT'S IMPORTANT TO PRESERVE FED'S INDEPENDENCE,ABS;BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CMO;CNG;COS;CRUNCH;ECO;EXE;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FISUB;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;HOM;INDUSTRIES;INTERNAL;MARKETS;MISC;MOR;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POLNEWS;REL;RESREL;RIF;SCR;SPREGIONS;SUBPRIME;TARP;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-2,1,ce2a4da7abcb44ceb1181939d38f2766
KEVBWW0D9L36,2009-02-10T21:05:21.048+00:00,*GEITHNER SAYS FED'S TALF IS NOT BECOMING THE DE FACTO BAD BANK,ABS;BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CMO;CNG;COS;CRUNCH;ECO;EXE;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FISUB;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;HOM;INDUSTRIES;INTERNAL;MARKETS;MISC;MOR;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POLNEWS;REL;RESREL;RIF;SCR;SPREGIONS;SUBPRIME;TALF;TARP;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-9999,0,193905cc1e5a45ac967348d773897e4c
KFXWMB0S8Z62,2009-03-03T17:30:00.416+00:00,*GEITHNER SAYS FAILURE TO CUT DEFICIT MAY BOOST INTEREST RATES,ABS;BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CMO;CNG;COS;CRUNCH;ECO;EXE;FED;FIALL;FIASST;FIN;FINMIN;FISUB;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;HOM;INDUSTRIES;INTERNAL;LAW;MARKETS;MISC;MOR;MSCINAMER;MSCIWORLD;NOB;NORTHAM;PFD;POLNEWS;REL;RESREL;RIF;SCR;SPREGIONS;STK;SUBPRIME;TARP;TAX;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-9999,0,c2e46a3320fd4ec9ba1fad6dda21398b
KGJWIM0D9L36,2009-03-15T14:06:22.286+00:00,*SUMMERS SAYS FEDERAL RESERVE WORKING WITH AIG ON DISCLOSURES,ABS;BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CMO;CNG;COS;CRUNCH;ECO;EXE;FED;FIALL;FIASST;FIN;FINMIN;FISUB;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;HOM;INDUSTRIES;INS;INTERNAL;MARKETS;MISC;MOR;MSCINAMER;MSCIWORLD;NOB;NORTHAM;NY;PFD;POLNEWS;REL;RESREL;RIF;SCR;SPREGIONS;STK;SUBPRIME;TARP;TRE;US;USB;USECO;USGOV;USMA;WASHNEWS;WORLD,1493503;1867829,1493503,summers,-9999,0,16a005e6addc46b1b6241a8156f1c051
KI3WOI0D9L39,2009-04-14T19:55:31.022+00:00,"*SUMMERS SAYS TREASURY, FED HAVE CLEAR SENSE OF RESPECTIVE ROLES",BNALL;BNK;BNSTAFF;BON;BUSINESS;CBM;CECO;CEN;COS;CRUNCH;ECO;EXE;FIALL;FIASST;FIN;FINMIN;FISUB;G10MEMB;G7ECOS;G7MEMB;GBN;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POLNEWS;RIF;SPREGIONS;TARP;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1493503;1867829,1493503,summers,-1,1,90bc360c95da450e94a44a4066da4cf2
KJY4R90D9L36,2009-05-20T14:11:33.993+00:00,*GEITHNER SAYS MARKETS REACTED WELL TO FED'S TALF EXPANSION,BNALL;BNK;BNSTAFF;BON;BUSINESS;CBM;CECO;CEN;CNG;COS;CRUNCH;ECO;ECOINDIC;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FISUB;FRX;G10MEMB;G7ECOS;G7MEMB;GBN;GEN;GOV;GOVMISC;HEADS;HOM;INDUSTRIES;INF;INTERNAL;MARKETS;MISC;MMK;MOR;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POLNEWS;REL;RESREL;RIF;SCR;SPREGIONS;TALF;TARP;TRE;TX;US;USB;USECO;USGOV;USSW;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-9999,0,ec939591a2f04b3daa3190b346354c82
KJY57O0D9L38,2009-05-20T14:21:24.933+00:00,*GEITHNER SAYS FED SYSTEM TO UNDERGO `COMPREHENSIVE' REVIEW,BNALL;BNK;BNSTAFF;BON;BUSINESS;CBM;CECO;CEN;CNG;COS;CRUNCH;ECO;ECOINDIC;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FISUB;FRX;G10MEMB;G7ECOS;G7MEMB;GBN;GEN;GOV;GOVMISC;HEADS;HOM;INDUSTRIES;INF;INTERNAL;MARKETS;MISC;MMK;MOR;MSCINAMER;MSCIWORLD;NOB;NORTHAM;POLNEWS;REL;RESREL;RIF;SCR;SPREGIONS;TALF;TARP;TRE;US;USB;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-9999,0,508291a930414ad492f27cb0eb7055c4
KLEGO70D9L36,2009-06-17T20:24:08.192+00:00,*SUMMERS DECLINES TO COMMENT ON POSSIBLY BECOMING FED CHAIRMAN,BNALL;BNSTAFF;CEN;FED;FIALL;FIASST;FLASHG7;G8;GEN;GOV;GOVMISC;HEADS;INTERNAL;MISC;POLNEWS;RIF;USGOV,1493503;15126358,1493503,summers,-9999,0,d706e0375dab448187053101da41c4b7
KQFLJS1A1I4L,2009-09-23T15:55:05.226+00:00,*GEITHNER SAYS FED HAS GOOD RECORD CONTAINING INFLATION,BNALL;BNK;BNSTAFF;BON;BUSINESS;CECO;CEN;CNG;COS;CRUNCH;ECO;ECOINDIC;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INF;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NORTHAM;POLNEWS;RIF;RULES;SPREGIONS;TARP;TRE;US;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,1,1,4a7a5de0852f4f4aa9efaa70d965cb2d
KRKOXM1A1I4J,2009-10-15T20:29:46.420+00:00,*GEITHNER SAYS HE'S CONFIDENT FED CAN KEEP INFLATION IN CHECK,ASIA;BNALL;BNK;BNSTAFF;BON;BUSINESS;CECO;CEN;CNG;COS;CRUNCH;ECO;ECOINDIC;EUROPE;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INF;INTERNAL;JAPAN;MARKETS;MISC;MMK;MSCIDVAS;MSCINAMER;MSCIWORLD;NORTHAM;POLNEWS;RIF;SPREGIONS;TARP;TRD;TRE;US;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,1,1,de40bda368da4950a84675f08f100ad5
KTD5CX1A1I4J,2009-11-19T15:50:57.973+00:00,*GEITHNER SAYS U.S. HAS AN `INDEPENDENT' FEDERAL RESERVE,BNALL;BNK;BNSTAFF;BON;BUSINESS;CECO;CEN;CNG;COS;CRUNCH;ECO;EXE;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INS;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NORTHAM;NY;POLNEWS;RIF;RULES;SPREGIONS;TARP;TRE;US;USECO;USGOV;USMA;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-1,1,ed8993563bb44694afc0f87356077269
KTD5DD1A1I4I,2009-11-19T15:51:13.913+00:00,*GEITHNER SAYS FED HAS AN `EXCEPTIONAL' RECORD ON ITS MANDATE,BNALL;BNK;BNSTAFF;BON;BUSINESS;CECO;CEN;CNG;COS;CRUNCH;ECO;EXE;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INS;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NORTHAM;NY;POLNEWS;RIF;RULES;SPREGIONS;TARP;TRE;US;USECO;USGOV;USMA;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,1,1,6cbe706279484309bf280c689c79b698
KU2W1J1A1I4I,2009-12-03T13:27:19.263+00:00,*GEITHNER SAYS FED HAS TO PLAY `CENTRAL ROLE' IN BANK OVERSIGHT,BNALL;BNK;BNKLAW;BNSTAFF;BON;BUSINESS;CECO;CEN;CNG;COS;CRUNCH;ECO;FED;FEDSPEAK;FIALL;FIASST;FIN;FINMIN;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INTERNAL;LAW;LAWPRAC;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NORTHAM;POLNEWS;REL;RIF;SPREGIONS;TARP;TRE;US;USECO;USGOV;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-9999,0,255c75eb61164337953d9cff6c4890d3
KWWXQB1A1I4I,2010-01-27T15:58:59.393+00:00,*GEITHNER SAYS HE SUPPORTS `ADEQUATE' DISCLOSURE BY FED,BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CNG;COS;CRUNCH;DRV;ECO;ECOINDIC;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FISUB;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INF;INS;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NOB;NORTHAM;NY;POLNEWS;RIF;RULES;SCR;SPREGIONS;SRCRANK1;TARP;TRE;US;USB;USECO;USGOV;USMA;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-9999,0,5bb00f45c6374ff8af732902d4848579
KWWXQB1A1I4J,2010-01-27T15:58:59.464+00:00,*GEITHNER SAYS THREATENING FED INDEPENDENCE WOULD BE MISTAKE,BNALL;BNK;BNSTAFF;BON;BUD;BUSINESS;CBM;CECO;CEN;CNG;COS;CRUNCH;DRV;ECO;ECOINDIC;FED;FEDSPEAK;FEDSPKHEAD;FIALL;FIASST;FIN;FINMIN;FISUB;FLASHG7;FRX;G10MEMB;G7ECOS;G7MEMB;G8;GBN;GEN;GOV;GOVMISC;HEADS;INDUSTRIES;INF;INS;INTERNAL;MARKETS;MISC;MMK;MSCINAMER;MSCIWORLD;NOB;NORTHAM;NY;POLNEWS;RIF;RULES;SCR;SPREGIONS;SRCRANK1;TARP;TRE;US;USB;USECO;USGOV;USMA;WASHNEWS;WORLD,1645812;1867829,1645812,geithner,-1,1,62cdb08cb517470e94dee4971b49e3cd
