suid,capturetime,headline,all_topics,all_people,flagged_people_ids,flagged_people_keys,score,relevant,autolabeler_id,predicted_label,predicted_label_confidence
PY2QPYDWRGG2,2019-09-19T10:34:46.946+00:00,"*TRUMP TELLS FOX FED SHOULD CUT MORE, AS OTHERS CUT MORE",BIZNEWS;MSCIWORLD;NORTHAM;USGOV;ACEXCLUDE;BUSINESS;HEADS;G7ECOS;BFWGOV;GOV;US;USECO;EXE;GOVMISC;CEN;RIF;BFWDC;CECO;ECO;MSCINAMER;FINNEWS;FED;FIRSTWORD;BFW;METALKEY;BIZNEWS;MSCIWORLD;NORTHAM;GLOBALMACR;USGOV;ACEXCLUDE;DEBTKEY;BUSINESS;G7MEMB;BONDWIRES;HEADS;MISC;G7ECOS;FIALL;BFWGOV;GOV;US;REGIONFILT;CREDITKEY;EQUITYKEY;AGRKEY;USECO;EXE;BGOVBILLGO;WORLD;GOVMISC;FXKEY;DEVECO;OILKEY;CEN;G10MEMB;RIF;GEN;BFWDC;BROKERLITE;CMDKEY;CECO;SRCRANK1;ECO;MSCINAMER;BGOVCODES;FINNEWS;BZNEWS;DC;FLASHG7;FED;SPREGIONS;POLIRISK;NRGKEY;FIRSTWORD;CMDGLOMAC;BFW;G8;RATESKEY;FIASST,1252249;15038944,1252249,trump1,1,1,2ee46a1046c24583ac1bac976ec42ba6,2,0.9
R5Z6S2T0AFB4,2022-01-19T21:09:38.457+00:00,*BIDEN: SUPPORT FED'S INDEPENDENCE,BIZNEWS;MSCIWORLD;NORTHAM;USGOV;ACEXCLUDE;BUSINESS;HEADS;INF;BFWGOV;GOV;US;EXE;RIF;BFWDC;ECO;MSCINAMER;FINNEWS;FIRSTWORD;BFW;BIZNEWS;MSCIWORLD;NORTHAM;ECOSTAT;USGOV;ACEXCLUDE;DEBTKEY;BUSINESS;G7MEMB;BONDWIRES;HEADS;INF;MISC;FIALL;BFWGOV;GOV;US;CREDITKEY;EQUITYKEY;EXE;BGOVBILLGO;WORLD;FXKEY;DEVECO;G10MEMB;RIF;GEN;BFWDC;ECOINDIC;SRCRANK1;ECO;MSCINAMER;BGOVCODES;FINNEWS;DC;SPREGIONS;POLIRISK;FIRSTWORD;BFW;RATESKEY;FIASST,13387985;22324244,13387985,biden,-1,1,3975792ad4784bf1a2785ef4c36590e7,-1,1.0
OVVM0V6JIJUQ,2017-09-06T20:53:20.058+00:00,*TRUMP IS SAID UNLIKELY TO NOMINATE COHN AS FED CHAIRMAN: WSJ,BBPICKS;ACEXCLUDE;USECO;HEADS;CEN;CECO;FIRSTWORD;VELOCITY;US;BIZNEWS;USGOV;BUSINESS;GOVMISC;RLSHEAD;GOV;BFW;NORTHAM;MSCINAMER;MSCIWORLD;ECO;G7ECOS;EDITPLUS;FED;FINNEWS;BBPICKS;METALKEY;G8;ACEXCLUDE;USECO;CMDKEY;CEN;CECO;HEADS;POLIRISK;FIRSTWORD;WORLD;VELOCITY;US;DEBTKEY;FLASHG7;SPREGIONS;BIZNEWS;USGOV;BUSINESS;NRGKEY;BGOVCODES;AGRKEY;DEVECO;SRCRANK1;GOVMISC;BONDWIRES;CMDGLOMAC;ESGRES;MISC;G7MEMB;G10MEMB;FIASST;RLSHEAD;FXKEY;FIALL;GOV;OILKEY;DC;RATESKEY;BFW;NORTHAM;MSCINAMER;GLOBALMACR;MSCIWORLD;BROKERLITE;BZNEWS;ECO;G7ECOS;EDITPLUS;FED;EQUITYKEY;CREDITKEY;BGOVBILLGO;FINNEWS,18320930;4736079,4736079,cohn,-9999,0,cd22fe0c465841269a4b819b6c36615c,-9999,1.0
OGERRR6TTDS8,2016-11-10T04:14:15.846+00:00,*HABTOOR SAYS MIDEAST REGION FED UP WITH OBAMA ADMINISTRATION,ACEXCLUDE;EM;HEADS;FEAS;RIF;BIZNEWS;MIDEAST;BUSINESS;MENA;GULF;UAE;COS;REL;CST;AME;DUBAI;FINNEWS;ACEXCLUDE;FIN;EM;GEN;HEADS;POLIRISK;FEAS;WORLD;US;EXE;RIF;SPREGIONS;BIZNEWS;MIDEAST;USGOV;BUSINESS;BGOVCODES;DEVECO;SRCRANK1;MENA;GULF;UAE;BONDWIRES;MISC;COS;G7MEMB;G10MEMB;REL;EMEAREGION;MSCIEMEUR;CST;GOV;DC;NORTHAM;MSCINAMER;INDUSTRIAL;MSCIWORLD;AME;DUBAI;INDUSTRIES;EQUITYKEY;GCCMEMB;BGOVBILLGO;FINNEWS,16018790;3296948,3296948,obama,-9999,0,b9bf808fab1e436da0cebcd0957e8fe2,-9999,0.9
RC52YTT0G1L0,2022-05-19T17:00:00.117+00:00,*YELLEN: IT'S UP TO FED TO DECIDE HOW TO BRING INFLATION DOWN,BIZNEWS;MSCIWORLD;NORTHAM;WAR;USGOV;ACEXCLUDE;BUSINESS;HEADS;G7ECOS;GOV;FEAS;US;USECO;UKR;GOVMISC;CIS;CEN;RIF;GEN;EUROPE;CECO;ECO;MSCINAMER;FINNEWS;EEU;FED;EM;G8;UNREST;METALKEY;BIZNEWS;MSCIWORLD;NORTHAM;GLOBALMACR;ECOSTAT;WAR;USGOV;ACEXCLUDE;DEBTKEY;EXUSSR;BUSINESS;G7MEMB;BONDWIRES;HEADS;INF;MISC;G7ECOS;FIALL;GOV;FEAS;US;REGIONFILT;EMEAREGION;CREDITKEY;RUNEWS;EQUITYKEY;AGRKEY;USECO;BGOVBILLGO;WORLD;UKR;GOVMISC;FXKEY;GENEVENT;DEVECO;OILKEY;CIS;CEN;G10MEMB;RIF;GEN;MSCIFRONT;EUROPE;BROKERLITE;ECOINDIC;CMDKEY;CECO;SRCRANK1;ECO;MSCINAMER;EEU;BGOVCODES;FINNEWS;CEE;BZNEWS;DC;FLASHG7;FED;SPREGIONS;POLIRISK;NRGKEY;EM;CMDGLOMAC;G8;RATESKEY;FIASST,1442491;1795692,1442491,yellen,0,1,76c2cc899f8b46ffbc7684f73f415eab,0,0.9
Q6LUA2DWRGG7,2020-03-03T06:34:50.424+00:00,*TRUMP SAYS FED `SHOULD EASE AND CUT RATE BIG',BIZNEWS;MSCIWORLD;NORTHAM;EDITPLUS;USGOV;ACEXCLUDE;HEADS;GOV;US;EXE;POL;MSCINAMER;BIZNEWS;MSCIWORLD;NORTHAM;GLOBALMACR;EDITPLUS;USGOV;ACEXCLUDE;DEBTKEY;BUSINESS;G7MEMB;BONDWIRES;HEADS;MISC;G7ECOS;FIALL;GOV;US;REGIONFILT;CREDITKEY;EQUITYKEY;USECO;EXE;BGOVBILLGO;POL;WORLD;FXKEY;DEVECO;CEN;G10MEMB;GEN;CECO;SRCRANK1;ECO;MSCINAMER;BGOVCODES;BZNEWS;DC;FED;MONETARY;SPREGIONS;POLIRISK;RATESKEY;FIASST,1252249;17318383,1252249,trump1,1,1,7aa0380f44cf4d31a164c05a0f841dbe,2,1.0
RQJRF4T0G1KW,2023-02-23T18:59:28.491+00:00,*BIDEN TO NOMINATE FED VICE CHAIR IN 'NEAR FUTURE': WHITE HOUSE,BIZNEWS;MSCIWORLD;NORTHAM;RUSSIA;USGOV;ACEXCLUDE;HEADS;BFWGOV;GOV;US;BRIC;EXE;GOVMISC;CIS;RIF;BFWDC;EUROPE;MSCINAMER;EEU;MSCIEMEUR;EM;FIRSTWORD;BFW;G8;BIZNEWS;MSCIWORLD;NORTHAM;RUSSIA;USGOV;ACEXCLUDE;EXUSSR;CPNYCNT1;ASIAX;G7MEMB;BONDWIRES;HEADS;MISC;GOVPL;BFWGOV;GOV;US;EMEAREGION;EQUITYKEY;BRIC;EXE;BGOVBILLGO;POL;WORLD;GOVMISC;EAEU;IGO;DEVECO;CIS;G10MEMB;RIF;GEN;BFWDC;FWDCFOR;CASPIAN;EUROPE;CASIA;SRCRANK1;MSCINAMER;EEU;BGOVCODES;GCON;DC;SPREGIONS;MSCIEMEUR;POLIRISK;EM;FIRSTWORD;BFW;G8,3104699;13387985,13387985,biden,-9999,0,19163015eeca4d5fa863cb38a133f624,-9999,1.0
PNR3O3DWLU6A,2019-03-02T18:07:16.009+00:00,"*TRUMP SAYS DOING WELL DESPITE FED RAISING RATES, STRONG DOLLAR",BIZNEWS;MSCIWORLD;NORTHAM;USGOV;ACEXCLUDE;BUSINESS;HEADS;G7ECOS;BFWGOV;GOV;US;USECO;EXE;POL;GOVMISC;CEN;RIF;BFWDC;CECO;ECO;MSCINAMER;FINNEWS;FED;FIRSTWORD;BFW;METALKEY;BIZNEWS;MSCIWORLD;NORTHAM;GLOBALMACR;USGOV;ACEXCLUDE;DEBTKEY;BUSINESS;G7MEMB;BONDWIRES;HEADS;FXMARKET;MISC;G7ECOS;FIALL;MARKETS;BFWGOV;GOV;US;REGIONFILT;CREDITKEY;EQUITYKEY;AGRKEY;USECO;EXE;BGOVBILLGO;POL;WORLD;GOVMISC;FXKEY;DEVECO;OILKEY;CEN;G10MEMB;RIF;GEN;BFWDC;BROKERLITE;FRX;CMDKEY;CECO;SRCRANK1;ECO;MSCINAMER;BGOVCODES;FINNEWS;CBRATES;BZNEWS;DC;FLASHG7;FED;MONETARY;SPREGIONS;POLIRISK;NRGKEY;FIRSTWORD;CMDGLOMAC;BON;BFW;G8;RATESKEY;FIASST,1252249;17946588,1252249,trump1,1,1,6f274e87324847f9a881f2cf0daf2e11,2,0.9
PGEJN6T25UKG,2018-10-10T21:28:19.046+00:00,*TRUMP SAYS HE THINKS FED IS MAKING A MISTAKE,BIZNEWS;MSCIWORLD;NORTHAM;USGOV;ACEXCLUDE;HEADS;BFWGOV;GOV;US;EXE;RIF;BFWDC;MSCINAMER;FIRSTWORD;BFW;BIZNEWS;MSCIWORLD;NORTHAM;GLOBALMACR;USGOV;ACEXCLUDE;DEBTKEY;G7MEMB;BONDWIRES;HEADS;MISC;BFWGOV;GOV;US;REGIONFILT;CREDITKEY;EXE;BGOVBILLGO;WORLD;FXKEY;DEVECO;G10MEMB;RIF;GEN;BFWDC;SRCRANK1;MSCINAMER;BGOVCODES;BZNEWS;DC;SPREGIONS;POLIRISK;FIRSTWORD;BFW;RATESKEY,1252249;17946588,1252249,trump1,1,1,3734e463a2834593bc4d3ce77deca970,1,1.0
MEK5QM1A1I4I,2012-12-05T12:37:34.216+00:00,*OSBORNE SAYS INVESTMENT FLOWING INTO UK GILTS,BGOVBILLGO;BIZNEWS;BON;BONDWIRES;BUD;BUSINESS;CBM;CECO;ECO;EQUITYKEY;EUROPE;FINMIN;FINNEWS;FRX;FXKEY;G7ECOS;GBN;GLOBALMACR;GLT;GOV;GOVMISC;HEADS;MARKETS;MSCIDVEUR;MSCIWORLD;POL;RATESKEY;SRCRANK1;TAX;UK;UKECO;UKGOV;UKTRE;AGRKEY;BGOVCODES;CMDKEY;CREDITKEY;DEBTKEY;FIALL;FIASST;FISUB;G10MEMB;G7MEMB;GEN;METALKEY;MISC;NRGKEY;POLIRISK;SPREGIONS;WORLD,15315236;4149228,4149228,osborne,-9999,0,3eb6eca5f0f34e879d420e92df359851,-9999,1.0
